completed_time,additional_comments,algae_quantity,anoph_present,barcode_recording_falcon_barcode,barcode_recording_scan_barcode,case_case_id,collection_date,county,culicine_present,distance_from_site,distance_to_nearest_animal_shelter,distance_to_nearest_hse,drainage_source_car_wash,drainage_source_extra,drainage_source_hotel_food_kiosk,drainage_source_market_place,drainage_source_other,drainage_source_public_toilets,drainage_source_residential_outlets,drainage_source_salon_barber_shop,drainage_source_unknown,drainage_source_water_point,geographical_information_village_name,gps_coordinates_accuracy_(meters),gps_coordinates_altitude_(meters),gps_coordinates_latitude_(degrees),gps_coordinates_longitude_(degrees),habitat_nature,habitat_size,interviewer,other_breeding_site,other_drainage_channel_source,predators_present,season,shade,site_code,site_gps,site_lat,site_loc,site_long,site_photo,subcase_0_case_case_id,subcounty,sublocation,transect,type_of_breeding_site,type_of_water,vegetation_present,water_appearance,water_depth,water_source,form_link,formid,hq_user,number,received_on,started_time,username
2025-07-31T09:31:29.719000Z,,scarce,yes,TRK3422K,TRK3422K,e8280a2b755540269f974a1ca6c1ca66,2025-07-31,Turkana,no,1929.8760111658423,less_than_100m,less_than_100m,---,---,---,---,---,---,---,---,---,---,NAKILINGA,3.1,587.7,4.5254883,35.42474,temporary,less_than_10m,Itukon Omar Ekeno,---,---,yes,dry_season,not_shaded,GP34,4.512725096 35.41294223,4.512725096,4.512725096 35.41294223,35.41294223,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/a594d570-7d58-4170-8836-be91181965fe/1753954150324.jpg,4d47acaa-bb9e-4c45-990c-57e58aac5da1,Turkana North,Lokolio,peri-urban,Water collection point puddle,stagnant,no,turbid_cloudy,less_than_10cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/a594d570-7d58-4170-8836-be91181965fe/,a594d570-7d58-4170-8836-be91181965fe,gp34,a594d570-7d58-4170-8836-be91181965fe,2025-07-31T09:31:31.320012Z,2025-07-31T09:08:36.591000Z,gp34
2025-07-31T10:07:00.739000Z,,none,no,---,---,e8280a2b755540269f974a1ca6c1ca66,2025-07-31,Turkana,no,1086.527217394072,less_than_100m,less_than_100m,---,---,---,---,---,---,---,---,---,---,MANDALEO,4.66,606.5,4.5170918,35.4217108,temporary,less_than_10m,Itukon Omar Ekeno,---,---,no,dry_season,not_shaded,GP34,4.512725096 35.41294223,4.512725096,4.512725096 35.41294223,35.41294223,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/a3a21669-6136-4fa1-bdff-9cf002adf070/1753956365629.jpg,---,Turkana North,Lokolio,peri-urban,Water collection point puddle,stagnant,no,turbid_cloudy,less_than_10cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/a3a21669-6136-4fa1-bdff-9cf002adf070/,a3a21669-6136-4fa1-bdff-9cf002adf070,gp34,a3a21669-6136-4fa1-bdff-9cf002adf070,2025-07-31T10:07:02.504773Z,2025-07-31T09:56:35.979000Z,gp34
2025-07-31T05:11:22.574000Z,no larvae found,---,---,---,---,53aa2e83f6464072a0c80c22fee5447c,2025-07-31,Turkana,---,1270.3340821531297,---,---,---,---,---,---,---,---,---,---,---,---,nachedei,4.95,390.1,3.5200675,35.8491442,---,---,---,---,---,---,---,---,GP47,3.522972956 35.86021384,3.522972956,3.522972956 35.86021384,35.86021384,---,---,Turkana Central,Kalokol,---,---,---,---,---,---,---,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/f1eeeb07-8edc-4a0c-9f8a-68b405ea0d27/,f1eeeb07-8edc-4a0c-9f8a-68b405ea0d27,gp47,f1eeeb07-8edc-4a0c-9f8a-68b405ea0d27,2025-07-31T13:33:50.011608Z,2025-07-31T05:10:31.739000Z,gp47
2025-08-01T09:01:30.615000Z,,moderate,no,---,---,53f39df23fdc421cafa5ba9bffabd101,2025-08-01,Turkana,no,999.637313557545,more_than_500m,between_100m_500m,---,---,---,---,---,---,---,---,---,---,Nangordengo B,4.34,594.5,2.8940348,35.2628898,temporary,between_10m_100m,Namanabu Areman Scolastica,sewage drainage,---,no,rainy_season,not_shaded,GP23,2.89445147 35.27188155,2.89445147,2.89445147 35.27188155,35.27188155,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/97b915a6-d60c-492a-b520-23cd370d8411/1754038752980.jpg,---,Loima,Lorugum,rural,Other (specify),stagnant,no,polluted,less_than_10cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/97b915a6-d60c-492a-b520-23cd370d8411/,97b915a6-d60c-492a-b520-23cd370d8411,gp23,97b915a6-d60c-492a-b520-23cd370d8411,2025-08-01T06:05:56.382024Z,2025-08-01T08:53:23.609000Z,gp23
2025-08-01T06:52:13.230000Z,,none,no,---,---,22c1928089944f088067866d129890d3,2025-08-01,Turkana,no,1188.338492947494,between_100m_500m,between_100m_500m,---,---,---,---,---,---,---,---,---,---,napetet zero b,2.5,549.5,2.9082967,35.4069833,temporary,between_10m_100m,Emanuel Ewoi,---,---,yes,rainy_season,partially_shaded,GP01,2.918907832 35.40571075,2.918907832,2.918907832 35.40571075,35.40571075,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/947a7d3d-3848-48ea-a322-b625fcaae9b2/1754031100036.jpg,---,Loima,Turkwel,rural,Dam,seepage,no,polluted,between_10cm_50cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/947a7d3d-3848-48ea-a322-b625fcaae9b2/,947a7d3d-3848-48ea-a322-b625fcaae9b2,gp01,947a7d3d-3848-48ea-a322-b625fcaae9b2,2025-08-01T06:52:13.282693Z,2025-08-01T06:48:31.966000Z,gp01
2025-08-01T08:07:51.683000Z,,none,yes,TRK01228,TRK01228,22c1928089944f088067866d129890d3,2025-08-01,Turkana,yes,759.1593677295666,less_than_100m,less_than_100m,---,---,---,---,---,---,---,---,---,---,napetetzero b,2.03,513.19,2.9121382,35.4048243,temporary,less_than_10m,Emanuel Ewoi,---,---,no,rainy_season,partially_shaded,GP01,2.918907832 35.40571075,2.918907832,2.918907832 35.40571075,35.40571075,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/fdb17a42-5487-4cff-ab96-8586b1c1c96d/1754035560938.jpg,061ca6f7-6f3a-4081-9251-3496a825826a,Loima,Turkwel,rural,Water collection point puddle,stagnant,no,clear,less_than_10cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/fdb17a42-5487-4cff-ab96-8586b1c1c96d/,fdb17a42-5487-4cff-ab96-8586b1c1c96d,gp01,fdb17a42-5487-4cff-ab96-8586b1c1c96d,2025-08-01T08:07:51.841077Z,2025-08-01T07:59:11.486000Z,gp01
2025-08-01T08:41:04.248000Z,,scarce,yes,TRK26222,TRK26222,88b8ea2dd7a841bdb9bad02309d52de2,2025-08-01,Turkana,yes,269.88497677809437,less_than_100m,less_than_100m,---,---,---,---,---,---,---,---,---,---,kanakurudio health centre,4.54,595.19,3.7920298,35.4663631,temporary,less_than_10m,Ebei Loroti Carlmax,---,---,no,rainy_season,partially_shaded,GP26,3.794058063 35.46502709,3.794058063,3.794058063 35.46502709,35.46502709,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/d976d725-d1d9-4e69-8631-1adec19d6d25/1754037601849.jpg,8a5167e8-2585-45d4-aa5e-8de1b6b7db4d,Turkana North,Kanukurudio,rural,Water collection point puddle,seepage,no,turbid_cloudy,less_than_10cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/d976d725-d1d9-4e69-8631-1adec19d6d25/,d976d725-d1d9-4e69-8631-1adec19d6d25,gp26,d976d725-d1d9-4e69-8631-1adec19d6d25,2025-08-01T08:41:05.381380Z,2025-08-01T08:36:04.027000Z,gp26
2025-08-01T14:41:19.039000Z,the habitat is full of water,none,no,---,---,c60616a4aaaf4a9da3c430fa16b11b4c,2025-08-01,Turkana,no,384.8715120013232,more_than_500m,more_than_500m,---,---,---,---,---,---,---,---,---,---,kangagetei,2.29,446.4,3.1434783,35.8615467,permanent,between_100m_250m,Evans Ngala,---,---,no,dry_season,not_shaded,GP15,3.141020014 35.86398695,3.141020014,3.141020014 35.86398695,35.86398695,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/ebdaf6a1-09eb-40ee-9379-1e134caa518c/1754059134525.jpg,---,Turkana Central,Kangagetei,rural,River,flowing,no,turbid_cloudy,between_10cm_50cm,river,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/ebdaf6a1-09eb-40ee-9379-1e134caa518c/,ebdaf6a1-09eb-40ee-9379-1e134caa518c,gp15,ebdaf6a1-09eb-40ee-9379-1e134caa518c,2025-08-01T14:41:21.355714Z,2025-08-01T14:33:54.548000Z,gp15
2025-08-01T15:31:07.261000Z,,scarce,yes,TRK22228,TRK22228,6fc6779025c2452c8ac373c3cfe04c38,2025-08-01,Turkana,no,3588.8117515497975,between_100m_500m,between_100m_500m,---,---,---,---,---,---,---,---,---,---,nasechabuin A,3.93,378.1,3.7359606,35.8031465,permanent,between_10m_100m,Ekeno Lokiridi Alex,---,---,yes,dry_season,partially_shaded,GP22,3.747218517 35.83345891,3.747218517,3.747218517 35.83345891,35.83345891,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/af8d93d0-c5ad-4590-be1f-42f8a262dc60/1754061645185.jpg,06ded559-931d-49a7-9a67-40c005545b88,Turkana North,Kataboi,rural,Dam,stagnant,yes,dark,between_10cm_50cm,rain,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/af8d93d0-c5ad-4590-be1f-42f8a262dc60/,af8d93d0-c5ad-4590-be1f-42f8a262dc60,gp22,af8d93d0-c5ad-4590-be1f-42f8a262dc60,2025-08-01T15:31:08.901191Z,2025-08-01T15:16:29.204000Z,gp22
2025-08-01T15:41:13.980000Z,,moderate,no,---,---,1870975fdde44900b58187d483d07246,2025-08-01,Turkana,yes,671.5380209548584,between_100m_500m,less_than_100m,---,---,---,---,---,---,---,---,---,---,kambi kavu,2.5,540.1,2.0164867,36.122835,permanent,between_10m_100m,Warren Esing'en,---,---,yes,dry_season,partially_shaded,GP13,2.011978021 36.11881447,2.011978021,2.011978021 36.11881447,36.11881447,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/eff49e51-962a-4285-9334-ec31817636e0/1754062843165.jpg,---,Turkana East,Lokori,rural,Tank,stagnant,no,polluted,between_10cm_50cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/eff49e51-962a-4285-9334-ec31817636e0/,eff49e51-962a-4285-9334-ec31817636e0,gp13,eff49e51-962a-4285-9334-ec31817636e0,2025-08-01T15:41:16.037200Z,2025-08-01T15:36:48.454000Z,gp13
2025-08-01T15:46:28.524000Z,,moderate,yes,TRK1322J,TRK1322J,1870975fdde44900b58187d483d07246,2025-08-01,Turkana,yes,677.8326828950975,between_100m_500m,between_100m_500m,---,---,---,---,---,---,---,---,---,---,kambi kafu,2.58,539.6,2.016542,36.122858,permanent,between_10m_100m,Warren Esing'en,---,---,yes,dry_season,partially_shaded,GP13,2.011978021 36.11881447,2.011978021,2.011978021 36.11881447,36.11881447,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/edba4c17-b5ff-4e42-82cd-b90199771dea/1754063145953.jpg,503d05d8-ce88-4536-b077-d0a1cce1bb42,Turkana East,Lokori,rural,Tank,stagnant,yes,polluted,between_10cm_50cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/edba4c17-b5ff-4e42-82cd-b90199771dea/,edba4c17-b5ff-4e42-82cd-b90199771dea,gp13,edba4c17-b5ff-4e42-82cd-b90199771dea,2025-08-01T15:46:30.132662Z,2025-08-01T15:42:57.223000Z,gp13
2025-08-02T05:50:26.713000Z,,none,yes,TRK01222,TRK01222,22c1928089944f088067866d129890d3,2025-08-02,Turkana,yes,823.0459622892677,less_than_100m,less_than_100m,---,---,---,---,---,---,---,---,---,---,napetet zero b,2.32,542.5,2.9135822,35.4108579,permanent,between_10m_100m,Emanuel Ewoi,canal,---,no,rainy_season,fully_shaded,GP01,2.918907832 35.40571075,2.918907832,2.918907832 35.40571075,35.40571075,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/13e90184-edbb-43df-9a64-352f6e8291c2/1754113789577.jpg,a1a2128c-81f9-41f0-8a39-196953f69b9f,Loima,Turkwel,rural,Other (specify),flowing,yes,turbid_cloudy,less_than_10cm,river,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/13e90184-edbb-43df-9a64-352f6e8291c2/,13e90184-edbb-43df-9a64-352f6e8291c2,gp01,13e90184-edbb-43df-9a64-352f6e8291c2,2025-08-02T05:50:28.425467Z,2025-08-02T05:44:15.273000Z,gp01
2025-08-02T08:31:08.814000Z,None,scarce,yes,TRK5522N,TRK5522N,6ccf89dac2bf4ed0866405434a5a026f,2025-08-02,Turkana,yes,1348.9962730575323,more_than_500m,less_than_100m,---,---,---,---,---,---,---,---,---,---,Nadapal,4.91,600.39,4.3975349,34.294135,temporary,less_than_10m,Mark Ingolol,---,---,no,rainy_season,partially_shaded,GP55,4.405343556 34.28482285,4.405343556,4.405343556 34.28482285,34.28482285,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/fab1a839-e3bc-4aa8-95b9-ef6c344e8ec9/1754123155103.jpg,12663954-6a60-4106-97a7-945c1852ea4c,Turkana West,Lokariwon,rural,Tank,stagnant,no,clear,between_10cm_50cm,rain,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/fab1a839-e3bc-4aa8-95b9-ef6c344e8ec9/,fab1a839-e3bc-4aa8-95b9-ef6c344e8ec9,gp55,fab1a839-e3bc-4aa8-95b9-ef6c344e8ec9,2025-08-02T08:31:34.540811Z,2025-08-02T08:20:24.414000Z,gp55
2025-08-03T09:02:37.948000Z,,moderate,yes,TRK2222N,TRK2222N,6fc6779025c2452c8ac373c3cfe04c38,2025-08-03,Turkana,yes,4543.457856910837,less_than_100m,less_than_100m,---,---,---,---,---,---,---,---,---,---,nasechabuin,4.5,371.5,3.712085,35.8125533,permanent,between_10m_100m,Ekeno Lokiridi Alex,---,---,yes,dry_season,partially_shaded,GP22,3.747218517 35.83345891,3.747218517,3.747218517 35.83345891,35.83345891,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/cd4a2cf5-4d9a-4d77-a32d-2ed10ae3cea0/1754211713191.jpg,c71f0ab9-324f-4dc5-bf55-bbfb043d51c0,Turkana North,Kataboi,rural,Swamp,stagnant,yes,polluted,between_10cm_50cm,river,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/cd4a2cf5-4d9a-4d77-a32d-2ed10ae3cea0/,cd4a2cf5-4d9a-4d77-a32d-2ed10ae3cea0,gp22,cd4a2cf5-4d9a-4d77-a32d-2ed10ae3cea0,2025-08-03T09:02:56.730072Z,2025-08-03T08:57:40.325000Z,gp22
2025-08-04T06:09:59.207000Z,,abundant,no,---,---,1870975fdde44900b58187d483d07246,2025-08-04,Turkana,yes,573.5678447867024,between_100m_500m,less_than_100m,---,---,---,---,---,---,---,---,---,---,Lotubae,3.7,550.5,2.015725,36.1223617,temporary,between_10m_100m,Warren Esing'en,---,---,yes,dry_season,partially_shaded,GP13,2.011978021 36.11881447,2.011978021,2.011978021 36.11881447,36.11881447,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/fcec91f2-a827-450b-b5a9-d9c34373f413/1754287785023.jpg,---,Turkana East,Lokori,rural,Man-made construction water reservoir,seepage,yes,polluted,less_than_10cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/fcec91f2-a827-450b-b5a9-d9c34373f413/,fcec91f2-a827-450b-b5a9-d9c34373f413,gp13,fcec91f2-a827-450b-b5a9-d9c34373f413,2025-08-04T06:11:24.019713Z,2025-08-02T15:28:44.652000Z,gp13
